Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a"".",Age,Gender,Household Income,Region,Device Type
10992004863,246342431,09/13/2019 06:18:25 PM,09/13/2019 06:21:32 PM,,,,,2ca4ea03020f4593d88df7cd24,,,,3,7,10,9,9,,,,,5,10,1,2,2,5,72,4,5,,5,1,2,4,2
10992004538,246342431,09/13/2019 06:19:25 PM,09/13/2019 06:21:18 PM,,,,,8890ea82f50becf4f60fd3c6d5,,,,1,10,7,10,5,,,3,,,12,7,2,6,4,49,3,5,,4,1,5,3,1
10992003139,246342431,09/13/2019 06:18:07 PM,09/13/2019 06:20:34 PM,,,,,a6a00b11fb6a336d1487d89b7c,,,,2,7,6,4,6,,,,,5,5,4,2,4,5,64,5,5,,5,1,4,5,2
10992002653,246342431,09/13/2019 06:15:31 PM,09/13/2019 06:20:18 PM,,,,,9f06499f60bb246a42aee0f6c9,,,,1,8,8,6,9,,,,,,2,7,2,6,5,80,7,5,,5,1,7,8,4
10991998443,246342431,09/13/2019 06:16:12 PM,09/13/2019 06:17:52 PM,,,,,22a7718b2eb9d9546b43758814,,,,2,7,5,3,4,,,,,,2,2,1,4,4,45,7,5,,4,2,4,5,2
10991998360,246342431,09/13/2019 06:15:19 PM,09/13/2019 06:17:50 PM,,,,,5718b5a8df71b75de9a7a7569e,,,,3,8,3,6,4,,,,,5,10,10,2,2,5,63,3,4,,5,1,2,8,2
10991988325,246342431,09/13/2019 06:10:24 PM,09/13/2019 06:12:00 PM,,,,,b3fe32a983870846fc2fe55dc4,,,,2,8,8,1,5,,,,,,10,8,2,4,4,57,4,5,,4,1,4,5,1
10991982687,246342431,09/13/2019 06:08:02 PM,09/13/2019 06:08:54 PM,,,,,64486f484230509cb473398d2b,,,,1,9,7,7,10,,,,,5,2,10,1,2,2,25,6,5,,2,2,2,9,1
10991953264,246342431,09/13/2019 05:51:23 PM,09/13/2019 05:52:54 PM,,,,,2e3c39dff8172fb099c4b16227,,,,3,10,10,10,4,,,,,,10,8,1,6,4,55,3,5,,4,2,6,5,2
10991946941,246342431,09/13/2019 05:47:16 PM,09/13/2019 05:49:31 PM,,,,,e0e6c03e98f149ef23d437709c,,,,3,8,8,1,7,,,,,,4,10,2,9,5,70,7,5,,5,1,7,3,2
10991941750,246342431,09/13/2019 05:45:56 PM,09/13/2019 05:46:45 PM,,,,,25fd85d3830241fe689afeb883,,,,2,6,7,4,5,,,,4,,5,9,1,2,2,25,1,3,,2,2,3,7,1
10991940502,246342431,09/13/2019 05:43:55 PM,09/13/2019 05:46:06 PM,,,,,ec96cf9518bc8dc0a4d669d316,,,,1,10,10,10,10,1,2,3,4,5,11,10,1,3,2,26,5,5,,2,2,3,3,1
10991927414,246342431,09/13/2019 05:37:15 PM,09/13/2019 05:39:17 PM,,,,,8aee02e01ef0f9346a72454b03,,,,1,6,5,4,3,,,,,,10,5,2,4,4,49,4,5,,4,1,4,1,2
10991915153,246342431,09/13/2019 05:31:32 PM,09/13/2019 05:33:08 PM,,,,,f10837401c332dfc772e43f997,,,,1,6,5,4,4,,2,,,,5,9,2,6,4,56,5,5,,4,2,5,9,1
10991902208,246342431,09/13/2019 05:24:40 PM,09/13/2019 05:26:52 PM,,,,,56f2fe58ad61d3c44b8fb9498d,,,,2,9,9,9,7,,,,,5,4,3,2,7,4,50,5,4,,4,1,7,7,4
10991878773,246342431,09/13/2019 05:13:02 PM,09/13/2019 05:14:30 PM,,,,,87a7078782822a627e78aeaeb4,,,,3,8,7,4,4,,,,,,2,3,1,11,2,23,5,5,,2,2,1,2,1
10991869876,246342431,09/13/2019 05:08:21 PM,09/13/2019 05:09:58 PM,,,,,6978afdbf669f47f7410e75d91,,,,2,5,5,5,6,,,3,,,10,5,1,4,4,56,3,5,,4,2,4,5,1
10991856966,246342431,09/13/2019 05:02:30 PM,09/13/2019 05:03:46 PM,,,,,96347467402f7aa7c976e525f2,,,,1,8,9,7,5,,,,,,8,4,2,10,4,45,4,5,,4,1,10,7,1
10991840641,246342431,09/13/2019 04:53:45 PM,09/13/2019 04:55:42 PM,,,,,70b4d738611b6e4038fb05b739,,,,2,10,10,10,7,,2,,,,2,5,1,5,4,51,4,3,,4,2,6,7,1
10991809918,246342431,09/13/2019 04:34:00 PM,09/13/2019 04:40:59 PM,,,,,8b5c6fe536d49456dcf65f4805,,,,2,2,3,4,5,,2,3,,5,6,4,2,5,4,55,5,3,,4,1,5,5,2
10991801812,246342431,09/13/2019 04:34:45 PM,09/13/2019 04:37:11 PM,,,,,e1eacd083b99c02433e57a9e2e,,,,2,6,8,4,4,,,,,,10,4,1,5,4,59,5,5,,4,2,5,9,1
10991790495,246342431,09/13/2019 04:31:15 PM,09/13/2019 04:31:50 PM,,,,,05c013ceef9af31a8e6e5b696c,,,,1,7,10,5,7,,,3,,,8,1,1,1,2,24,3,4,,2,2,2,2,1
10991762524,246342431,09/13/2019 04:17:01 PM,09/13/2019 04:19:07 PM,,,,,76eff68ad2197946d675a4a1e5,,,,3,5,5,4,8,,,,,,9,5,2,5,5,0,4,1,,5,1,5,9,2
10991762135,246342431,09/13/2019 04:17:01 PM,09/13/2019 04:18:57 PM,,,,,4a15851505edb6d3a8f6c854a2,,,,1,8,8,8,8,,,,,,4,8,2,11,5,72,6,5,,5,1,11,2,4
10991756243,246342431,09/13/2019 04:12:57 PM,09/13/2019 04:16:25 PM,,,,,fedac77f3e3484c0522176781f,,,,2,8,8,8,8,,,,,,2,8,1,6,4,50,6,5,,4,2,6,5,1
10991743478,246342431,09/13/2019 04:09:19 PM,09/13/2019 04:10:42 PM,,,,,cfe147d43c28cb00caab8fa2d3,,,,2,10,10,9,10,1,2,,4,,6,4,2,7,2,22,4,5,,2,1,3,4,2
10991729038,246342431,09/13/2019 04:02:03 PM,09/13/2019 04:04:28 PM,,,,,260fbe80484b1fb42295331295,,,,2,6,7,5,4,1,2,,,5,2,3,1,4,5,65,7,5,,5,2,5,3,1
10991721445,246342431,09/13/2019 03:59:55 PM,09/13/2019 04:01:11 PM,,,,,1a905afe4bb3e47216a1ae38e2,,,,1,4,4,3,4,,,3,,,3,7,1,3,2,55,4,2,,2,2,3,9,1
10991710007,246342431,09/13/2019 03:55:09 PM,09/13/2019 03:56:14 PM,,,,,87b319f3fa5d1bc9bce4b682cd,,,,2,10,10,10,10,,2,,,,5,5,2,8,3,33,8,2,,3,1,8,9,2
10991695310,246342431,09/13/2019 03:48:11 PM,09/13/2019 03:49:55 PM,,,,,e6ee2120c7a3f6dcd8e9985103,,,,2,10,1,4,6,,,3,,5,2,10,2,10,2,21,4,5,,2,1,1,5,2
10991676683,246342431,09/13/2019 03:38:36 PM,09/13/2019 03:41:53 PM,,,,,60bd3782473f8b374f5fea49ea,,,,1,10,1,5,7,,,,,5,10,3,1,5,4,52,3,5,,4,2,5,2,1
10991674502,246342431,09/13/2019 03:38:35 PM,09/13/2019 03:40:59 PM,,,,,da3af7b6712acabb8f174fa8d3,,,,3,2,2,2,2,1,,,,,5,8,1,11,5,73,7,5,,5,2,11,2,4
10991670227,246342431,09/13/2019 03:37:53 PM,09/13/2019 03:39:10 PM,,,,,b4ea364c9d0a4804cf0235181e,,,,2,7,7,9,9,,,,,5,6,3,2,8,3,31,5,5,,3,1,8,8,1
10991669695,246342431,09/13/2019 03:31:06 PM,09/13/2019 03:38:56 PM,,,,,546107ed07906054f6f4189e77,,,,1,6,6,9,7,,,3,,,6,7,2,10,2,19,8,5,,2,1,10,4,1
10991655325,246342431,09/13/2019 03:31:16 PM,09/13/2019 03:33:06 PM,,,,,59393877a69c9c0e0fde5803b8,,,,1,10,5,3,6,,,,,5,3,4,2,6,3,31,5,5,,3,1,6,2,2
10991655289,246342431,09/13/2019 03:31:06 PM,09/13/2019 03:33:06 PM,,,,,2332d738f76c4f575e68bb0e55,,,,1,7,7,5,2,,,,,5,6,8,1,4,3,36,5,6,,4,2,4,5,2
10991647979,246342431,09/13/2019 03:22:32 PM,09/13/2019 03:30:08 PM,,,,,393d0466c272e2da55ad58af8d,,,,2,9,1,10,6,,,,,,10,10,1,4,2,23,4,5,,2,2,4,5,1
10991646718,246342431,09/13/2019 03:28:05 PM,09/13/2019 03:29:38 PM,,,,,14f706267727ac3f6716370297,,,,2,7,1,3,7,,,,,5,6,7,2,6,2,21,4,5,,2,1,6,4,1
10991622075,246342431,09/13/2019 03:18:55 PM,09/13/2019 03:20:00 PM,,,,,13efa5054846f87206e7e255b1,,,,1,5,7,4,4,,2,,,,11,4,2,6,5,57,5,5,,5,2,6,1,4
10991619701,246342431,09/13/2019 03:17:01 PM,09/13/2019 03:19:04 PM,,,,,9fc7a9c2a07625ed91aee9b895,,,,1,7,8,4,6,1,,3,,5,6,3,2,4,2,27,5,5,,2,1,4,9,2
10991607958,246342431,09/13/2019 03:09:27 PM,09/13/2019 03:14:26 PM,,,,,3565948bbada7caca4a1d6f925,,,,2,10,10,1,5,,,,,5,2,10,2,4,5,62,7,5,,5,1,4,3,2
10991600576,246342431,09/13/2019 03:09:30 PM,09/13/2019 03:11:30 PM,,,,,08d5d19c5439411a0a3587a43e,,,,1,9,10,9,6,,,,,5,10,2,2,4,4,50,4,5,,4,1,4,8,1
10991599990,246342431,09/13/2019 03:09:32 PM,09/13/2019 03:11:18 PM,,,,,8fefe452d4f778b6bea10217d3,,,,2,3,3,6,3,,,3,,,12,4,2,5,5,67,5,5,,5,1,5,9,1
10991587768,246342431,09/13/2019 03:03:45 PM,09/13/2019 03:06:31 PM,,,,,c14a041a18af56dc2de6691bf7,,,,2,5,10,6,5,,,3,,,11,1,1,5,2,29,4,3,,2,2,5,5,1
10991580327,246342431,09/13/2019 03:00:33 PM,09/13/2019 03:03:37 PM,,,,,08291b6537f53d8a2211978666,,,,1,4,3,4,5,1,,,,,11,9,1,3,4,48,3,4,,4,2,3,9,1
10991578571,246342431,09/13/2019 03:01:21 PM,09/13/2019 03:02:55 PM,,,,,a599fce7e224cf94fbbbb408d1,,,,1,8,6,6,3,1,,3,,,10,7,1,5,3,34,4,6,,3,2,4,2,2
10991559354,246342431,09/13/2019 02:52:04 PM,09/13/2019 02:54:59 PM,,,,,11534f61e8876395606f701bb9,,,,2,8,4,5,8,1,2,3,,,5,5,2,3,2,19,3,5,,2,1,11,4,2
10991548014,246342431,09/13/2019 02:48:33 PM,09/13/2019 02:50:18 PM,,,,,4ae912ed1892f7475d348c2bf1,,,,1,7,9,10,10,,,,4,5,4,1,2,3,4,45,5,5,,4,1,3,3,2
10991547973,246342431,09/13/2019 02:48:22 PM,09/13/2019 02:50:18 PM,,,,,f1fe88c1e4fa03c9dec0be2193,,,,2,8,7,8,7,,,,,,10,8,2,4,5,79,5,5,,5,1,8,2,1
10991540058,246342431,09/13/2019 02:46:00 PM,09/13/2019 02:46:59 PM,,,,,b19bc2a7b9e6dcdc883d3e712d,,,,2,6,4,6,3,,,,,5,2,5,1,3,2,20,4,4,,2,2,11,2,2
10991528978,246342431,09/13/2019 02:41:06 PM,09/13/2019 02:42:29 PM,,,,,4d619484908638e7ff3db8b93b,,,,1,8,6,7,10,,,,,5,10,1,1,4,4,45,2,5,,4,2,3,6,1
10991488150,246342431,09/13/2019 02:23:50 PM,09/13/2019 02:26:40 PM,,,,,4381e39b66cbea04690d08e741,,,,1,1,7,1,8,,,,,5,2,5,1,3,4,48,7,5,,4,2,3,3,1
10991487013,246342431,09/13/2019 02:23:49 PM,09/13/2019 02:25:17 PM,,,,,fde000e8c807d05989276545e1,,,,2,9,10,10,1,,,,,5,9,5,2,3,2,25,3,5,,2,1,3,4,2
10991473741,246342431,09/13/2019 02:16:16 PM,09/13/2019 02:19:44 PM,,,,,dd6cf0f62695dacd9e3f993ed2,,,,1,10,10,4,5,,,3,,,12,6,2,7,3,44,4,5,,3,1,6,8,1
10991471812,246342431,09/13/2019 02:16:35 PM,09/13/2019 02:18:53 PM,,,,,780d81f796fa371cb9fe2c5779,,,,3,10,8,10,8,,,,,,10,3,1,9,4,55,4,5,,4,2,9,9,1
10991469632,246342431,09/13/2019 02:16:20 PM,09/13/2019 02:17:58 PM,,,,,9a09c4a3e19450cc868b6e39fd,,,,3,8,5,6,4,,2,,,,2,5,1,3,2,23,5,5,,2,2,1,8,2
10991445044,246342431,09/13/2019 02:05:53 PM,09/13/2019 02:07:30 PM,,,,,6a6c5ac2c196952ceaee7595cb,,,,3,10,10,10,10,,,,,,10,10,2,1,5,67,3,5,,5,1,1,3,2
10991440740,246342431,09/13/2019 02:02:35 PM,09/13/2019 02:05:44 PM,,,,,9cae6f1856d4d6987b08d92c81,,,,1,5,6,6,6,,,,,,4,5,2,7,4,53,7,5,,4,1,7,5,4
10991432924,246342431,09/13/2019 01:44:58 PM,09/13/2019 02:02:25 PM,,,,,f181baf787b7e597373f56e5c5,,,,1,3,6,9,5,1,2,,,5,10,1,1,4,4,55,7,3,,4,2,4,5,1
10991395848,246342431,09/13/2019 01:44:54 PM,09/13/2019 01:47:09 PM,,,,,183e22a6006f813d3940ac66ff,,,,1,6,8,10,3,,,,,5,5,6,1,8,4,51,7,5,,4,2,8,5,2
10991392716,246342431,09/13/2019 01:44:52 PM,09/13/2019 01:45:53 PM,,,,,af4003bbe57ddbd3891321f307,,,,2,8,4,9,5,1,2,3,,,2,9,1,5,3,37,7,5,,3,2,5,2,2
10991384411,246342431,09/13/2019 01:40:44 PM,09/13/2019 01:42:24 PM,,,,,0da4b55b4d11ee6cafc5a41582,,,,3,5,8,7,5,,,,,5,10,7,1,11,2,26,3,5,,2,2,3,5,2
10991382375,246342431,09/13/2019 01:39:50 PM,09/13/2019 01:41:33 PM,,,,,69d8716f7423ef8b510c5f8d24,,,,1,8,6,6,8,,2,,,,5,6,2,4,4,72,8,5,,5,1,6,5,1
10991348658,246342431,09/13/2019 01:25:39 PM,09/13/2019 01:27:29 PM,,,,,5146ac5f7afa9abd60e5f640da,,,,1,8,8,9,6,,,,,5,10,6,1,4,4,45,3,5,,4,2,4,3,1
10991328122,246342431,09/13/2019 01:17:06 PM,09/13/2019 01:18:38 PM,,,,,52039c0bd46cf245ccacdfec49,,,,2,10,9,10,9,1,,,,,10,9,2,2,5,59,3,5,,4,1,2,8,2
10991326751,246342431,09/13/2019 01:16:59 PM,09/13/2019 01:18:03 PM,,,,,71efeb065cc241b6617c6dab96,,,,2,7,7,7,4,1,2,3,,,6,10,2,6,2,18,4,2,,2,1,7,1,2
10991304199,246342431,09/13/2019 01:06:29 PM,09/13/2019 01:08:44 PM,,,,,55ed6fdbb31a1ea6c289edd110,,,,2,1,10,10,5,,,,,5,10,1,1,4,4,54,5,5,,4,2,5,3,1
10991291333,246342431,09/13/2019 01:02:10 PM,09/13/2019 01:03:26 PM,,,,,53ef5453519202a498ad9ec62c,,,,2,10,10,10,5,1,2,,,,3,1,2,8,3,44,4,5,,3,1,7,9,2
10991257001,246342431,09/13/2019 12:47:19 PM,09/13/2019 12:49:12 PM,,,,,732f7bd62dee10c5ec75dcbaa8,,,,2,10,10,10,10,1,2,3,,5,11,9,1,3,5,67,6,5,,5,2,3,3,5
10991220757,246342431,09/13/2019 12:32:13 PM,09/13/2019 12:34:25 PM,,,,,544d79501ca9740402892225bc,,,,1,1,1,5,3,,,,,5,10,1,2,4,4,52,7,4,,4,1,4,5,2
10991220405,246342431,09/13/2019 12:31:10 PM,09/13/2019 12:34:15 PM,,,,,6afe18e36dc48d6ca62a1d57d7,,,,1,6,9,10,8,1,,3,4,5,11,6,1,2,2,24,3,4,,2,2,2,3,1
10991219441,246342431,09/13/2019 12:32:01 PM,09/13/2019 12:33:55 PM,,,,,ebfd73e345e720a296d5725881,,,,1,9,7,8,7,,2,3,,5,5,10,2,6,5,62,6,5,,5,1,6,9,5
10991217122,246342431,09/13/2019 12:32:27 PM,09/13/2019 12:34:08 PM,,,,,0951472cf67a9ad949e2ade4f8,,,,3,4,7,7,6,,2,3,,5,10,9,1,11,2,28,3,3,,2,2,11,9,2
10991210800,246342431,09/13/2019 12:28:34 PM,09/13/2019 12:30:32 PM,,,,,c4d16d7750651b3887f24fd2ee,,,,2,5,2,4,1,,,,,,6,4,1,11,4,60,4,5,,5,2,11,9,1
10991166382,246342431,09/13/2019 12:12:28 PM,09/13/2019 12:14:00 PM,,,,,2a657da212c61c5f3c4e000dd1,,,,1,7,8,8,3,,,,,,5,9,1,11,2,29,4,5,,2,2,11,9,2
10991165635,246342431,09/13/2019 12:28:41 PM,09/13/2019 12:32:55 PM,,,,,6bf5789ceac9e776fb3395320d,,,,3,8,7,8,7,,,,,5,2,5,1,3,3,32,4,2,,3,2,3,8,1
10991163671,246342431,09/13/2019 12:10:37 PM,09/13/2019 12:13:01 PM,,,,,dc5644d8e3d8171ef1cee32c56,,,,2,8,6,7,7,1,2,3,,,2,3,2,7,4,60,7,5,,5,1,7,7,1
10991162879,246342431,09/13/2019 12:14:01 PM,09/13/2019 12:17:11 PM,,,,,62964f782922d1507d40565763,,,,2,1,1,1,10,1,,3,,5,5,1,1,3,4,55,4,3,,4,2,3,5,2
10991158841,246342431,09/13/2019 12:09:30 PM,09/13/2019 12:11:17 PM,,,,,376e73e06daae4ff4958b2d5a6,,,,1,6,2,2,5,,,,,5,10,9,2,6,3,38,4,5,,3,1,5,9,1
10991155624,246342431,09/13/2019 12:09:24 PM,09/13/2019 12:10:03 PM,,,,,11f8317be5509e0c0ac016893d,,,,1,2,3,2,6,1,2,3,4,5,2,4,2,2,2,32,7,1,,3,1,10,8,2
10989676283,246137921,09/12/2019 09:59:00 PM,09/12/2019 10:00:24 PM,96.240.139.151,,,,,,,,2,10,4,5,8,,2,3,,5,9,10,2,10,3,30,7,5,,,,,,
10988971863,246137921,09/12/2019 04:43:34 PM,09/12/2019 04:47:39 PM,204.63.42.38,,,,,,,,2,8,7,6,8,1,2,3,4,5,6,7,2,5,3,30,7,2,,,,,,
10988908392,246137921,09/12/2019 04:23:07 PM,09/12/2019 04:25:14 PM,204.63.40.44,,,,,,,,1,8,5,8,7,1,,3,,5,6,5,2,10,3,32,5,5,,,,,,
10988883416,246137921,09/12/2019 04:06:34 PM,09/12/2019 04:16:14 PM,204.63.40.42,,,,,,,,1,10,8,10,8,1,2,3,4,5,6,7,2,11,2,0,5,6,,,,,,
10988876033,246137921,09/12/2019 04:11:45 PM,09/12/2019 04:13:37 PM,204.63.40.39,,,,,,,,2,10,5,10,6,1,2,3,4,5,4,6,3,11,3,30,7,2,,,,,,
10988532750,246137921,09/12/2019 02:00:03 PM,09/12/2019 02:13:03 PM,204.63.42.39,,,,,,,,2,10,9,8,10,,,,,,4,9,1,10,2,29,7,2,,,,,,
10988531325,246137921,09/12/2019 02:10:43 PM,09/12/2019 02:12:30 PM,204.63.40.10,,,,,,,,1,8,6,8,8,,,3,,,4,8,2,10,3,39,7,5,,,,,,
10988482202,246137921,09/12/2019 01:51:42 PM,09/12/2019 01:54:31 PM,204.63.40.11,,,,,,,,2,10,7,10,5,1,2,3,4,5,6,4,1,7,4,98,6,5,,,,,,
10988478886,246137921,09/12/2019 01:50:13 PM,09/12/2019 01:53:13 PM,204.63.42.41,,,,,,,,2,1,1,5,8,1,2,3,,5,4,5,1,10,3,33,7,5,,,,,,
10988456274,246137921,09/12/2019 01:43:00 PM,09/12/2019 01:44:46 PM,204.63.40.10,,,,,,,,2,7,4,10,6,1,2,3,4,5,6,8,1,6,2,23,5,5,,,,,,
10986015910,246137921,09/11/2019 04:27:30 PM,09/11/2019 04:30:19 PM,204.63.42.10,,,,,,,,1,3,4,3,5,1,,,4,5,6,7,2,8,3,40,5,5,,,,,,
10985951102,246137921,09/11/2019 01:49:25 PM,09/11/2019 04:02:57 PM,204.63.40.43,,,,,,,,2,10,1,7,7,1,2,3,4,,6,10,3,11,2,29,5,6,,,,,,
10984823961,246137921,09/11/2019 08:59:35 AM,09/11/2019 09:03:35 AM,204.63.40.41,,,,,,,,2,7,8,9,10,,2,3,4,,6,8,2,4,3,33,5,5,,,,,,
10984809008,246137921,09/11/2019 08:11:01 AM,09/11/2019 08:57:39 AM,204.63.42.40,,,,,,,,1,5,4,7,7,,,3,,,4,6,2,10,3,33,7,5,,,,,,
10983587294,246137921,09/10/2019 07:11:56 PM,09/10/2019 07:13:53 PM,204.63.40.11,,,,,,,,1,6,7,6,5,1,2,3,,5,4,5,1,5,2,24,5,4,,,,,,
10983527762,246137921,09/10/2019 06:37:41 PM,09/10/2019 06:39:16 PM,69.251.248.78,,,,,,,,1,10,7,10,6,1,2,3,,5,4,4,1,8,3,34,6,2,,,,,,
10983515573,246137921,09/10/2019 06:30:24 PM,09/10/2019 06:32:03 PM,174.204.30.70,,,,,,,,2,7,9,10,6,1,2,3,4,5,6,10,2,6,2,23,5,2,,,,,,
10983510622,246137921,09/10/2019 06:27:30 PM,09/10/2019 06:29:09 PM,174.205.1.7,,,,,,,,1,10,7,10,8,,,3,,,4,10,1,10,3,44,7,6,,,,,,
10983378921,246137921,09/10/2019 05:23:36 PM,09/10/2019 05:25:57 PM,174.204.19.240,,,,,,,,1,7,3,6,6,1,2,3,,5,4,7,1,9,2,28,5,2,,,,,,
10983338293,246137921,09/10/2019 05:07:27 PM,09/10/2019 05:09:20 PM,204.63.42.37,,,,,,,,2,10,5,8,5,,2,3,,5,4,8,1,10,2,29,6,5,,,,,,
10983311714,246137921,09/10/2019 04:57:22 PM,09/10/2019 04:58:57 PM,204.63.40.40,,,,,,,,1,6,8,8,6,,,,,,4,4,2,4,3,31,6,5,,,,,,
10983258504,246137921,09/10/2019 04:37:00 PM,09/10/2019 04:38:24 PM,204.63.42.38,,,,,,,,1,7,4,4,4,1,2,3,,,6,8,2,10,3,35,5,5,,,,,,
10983239174,246137921,09/10/2019 04:15:37 PM,09/10/2019 04:30:57 PM,204.63.42.41,,,,,,,,2,7,4,3,8,,,,,,4,7,1,6,2,25,5,2,,,,,,
10983209531,246137921,09/10/2019 04:17:47 PM,09/10/2019 04:19:37 PM,204.63.42.38,,,,,,,,2,4,6,2,6,,,,,,6,5,2,6,3,30,5,2,,,,,,
10983207959,246137921,09/10/2019 03:57:59 PM,09/10/2019 04:19:01 PM,204.63.40.40,,,,,,,,1,9,5,10,10,1,,3,4,5,6,7,2,7,2,25,5,5,,,,,,
10983195210,246137921,09/10/2019 04:13:04 PM,09/10/2019 04:14:17 PM,204.63.40.42,,,,,,,,2,8,3,8,8,1,2,3,,5,4,10,2,5,2,24,5,2,,,,,,
10983185724,246137921,09/10/2019 04:08:32 PM,09/10/2019 04:10:38 PM,204.63.40.11,,,,,,,,1,2,8,4,4,,,,,5,4,2,1,5,3,35,5,5,,,,,,
10983159872,246137921,09/10/2019 03:58:25 PM,09/10/2019 04:01:05 PM,204.63.42.38,,,,,,,,2,8,10,6,3,,,,,,4,7,2,5,2,24,5,2,,,,,,
10983151357,246137921,09/10/2019 03:56:18 PM,09/10/2019 03:57:54 PM,204.63.40.41,,,,,,,,2,8,6,7,9,1,2,3,4,5,6,6,2,5,2,22,7,5,,,,,,
10983149927,246137921,09/10/2019 03:53:39 PM,09/10/2019 03:57:23 PM,204.63.40.11,,,,,,,,2,7,4,8,6,1,2,3,4,5,6,10,2,10,2,26,7,2,,,,,,
10983147087,246137921,09/10/2019 03:53:58 PM,09/10/2019 03:56:20 PM,204.63.40.44,,,,,,,,1,8,9,6,6,1,2,3,,,6,9,2,10,3,34,7,3,,,,,,
10983145835,246137921,09/10/2019 03:53:45 PM,09/10/2019 03:55:52 PM,204.63.40.11,,,,,,,,2,3,3,5,5,,,,,,4,9,1,10,2,25,5,6,,,,,,
10717736271,233176325,05/09/2019 03:14:41 AM,05/09/2019 03:18:15 AM,,,,,5dd72a51f0436c1d249ed1dc79,,,,3,10,7,3,7,,,,,5,10,10,2,2,3,34,1,4,,3,1,3,9,2
10717731616,233176325,05/09/2019 03:13:03 AM,05/09/2019 03:14:46 AM,,,,,5f59c0883825ba9c05affad1b2,,,,1,10,10,10,10,1,2,3,,5,6,6,2,4,3,37,5,5,,3,1,5,3,2
10717729195,233176325,05/09/2019 03:12:07 AM,05/09/2019 03:13:01 AM,,,,,199c9f99a2115a4d7090b6f943,,,,1,8,8,8,8,1,2,,4,,11,8,2,3,2,25,5,2,,2,1,3,9,2
10717724827,233176325,05/09/2019 03:08:44 AM,05/09/2019 03:09:48 AM,,,,,d6d354dcb09e1fa83f8fd243e1,,,,3,8,10,7,6,,2,3,,5,10,6,1,1,2,22,3,5,,2,2,2,3,2
10717723858,233176325,05/09/2019 03:06:19 AM,05/09/2019 03:09:05 AM,,,,,8905e104ed3ab4ca9e1ee9cee2,,,,3,8,6,10,5,,,,4,,5,7,1,1,3,33,4,5,,3,2,1,3,2
10717723453,233176325,05/09/2019 03:06:56 AM,05/09/2019 03:08:49 AM,,,,,a71c2352416868e6a2b230db88,,,,2,8,7,2,2,,,,,,10,5,1,2,2,21,4,5,,2,2,1,3,1
10717723209,233176325,05/09/2019 03:06:21 AM,05/09/2019 03:08:38 AM,,,,,65557cd85e96f9355636e12815,,,,2,10,6,4,7,,,,,5,2,4,1,3,3,36,4,5,,3,2,3,6,2
10717722712,233176325,05/09/2019 03:06:26 AM,05/09/2019 03:08:16 AM,,,,,587fed7b74766cfe5576ae0013,,,,2,10,6,7,8,,,,,5,10,7,1,3,2,21,4,2,,2,2,3,5,1
10717719259,233176325,05/09/2019 03:03:55 AM,05/09/2019 03:05:44 AM,,,,,538dce99f429a9dfa47b6fd19a,,,,3,6,6,6,4,,2,,,,10,1,1,2,3,38,5,5,,3,2,2,3,2
10717719164,233176325,05/09/2019 03:04:00 AM,05/09/2019 03:05:39 AM,,,,,3140fa7d4e8acfde1f08d38e0d,,,,1,9,7,8,9,,2,3,,5,2,8,1,5,3,33,6,2,,3,2,2,5,1
10717717880,233176325,05/09/2019 03:03:15 AM,05/09/2019 03:04:44 AM,,,,,9685b62b3b9ffe37e99ccbc18b,,,,2,6,4,3,8,,,,,5,7,9,1,1,2,22,6,5,,2,2,1,9,1
10717716770,233176325,05/09/2019 03:00:37 AM,05/09/2019 03:03:54 AM,,,,,0e3f8a8c46ce0e4ff78a8005b7,,,,2,9,5,1,1,,2,,,,11,9,1,2,3,39,3,5,,3,2,2,2,1
10717637241,233176325,05/09/2019 01:52:52 AM,05/09/2019 01:54:57 AM,,,,,c937497b63c5f7cd0ef8d0f9df,,,,1,10,10,10,5,,2,3,,,6,5,2,4,3,31,4,6,,3,1,3,2,2
10717496786,233176325,05/08/2019 11:36:32 PM,05/08/2019 11:39:30 PM,,,,,5f284b1bde25e347c1abed69a7,,,,3,9,3,1,1,,2,,,,11,3,1,4,4,61,3,5,,5,2,4,9,2
10717496472,233176325,05/08/2019 11:34:08 PM,05/08/2019 11:39:11 PM,,,,,19b67b28620e695cb315df5502,,,,2,6,1,4,4,,,,,5,11,5,1,11,5,64,3,5,,5,2,11,3,1
10717496261,233176325,05/08/2019 11:35:31 PM,05/08/2019 11:39:00 PM,,,,,98e7fbcedc8cf8438cdd3347e7,,,,2,6,1,4,1,,,,,,11,4,1,5,4,54,3,4,,4,2,5,5,2
